,Unnamed: 0,name,region,subregion,population,area
0,0,Afghanistan,Asia,Southern Asia,27657145,652230.0
1,1,Åland Islands,Europe,Northern Europe,28875,1580.0
2,2,Albania,Europe,Southern Europe,2886026,28748.0
3,3,Algeria,Africa,Northern Africa,40400000,2381741.0
4,4,American Samoa,Oceania,Polynesia,57100,199.0
5,5,Andorra,Europe,Southern Europe,78014,468.0
6,6,Angola,Africa,Middle Africa,25868000,1246700.0
7,7,Anguilla,Americas,Caribbean,13452,91.0
8,9,Antigua and Barbuda,Americas,Caribbean,86295,442.0
9,10,Argentina,Americas,South America,43590400,2780400.0
10,11,Armenia,Asia,Western Asia,2994400,29743.0
11,12,Aruba,Americas,Caribbean,107394,180.0
12,13,Australia,Oceania,Australia and New Zealand,24117360,7692024.0
13,14,Austria,Europe,Western Europe,8725931,83871.0
14,15,Azerbaijan,Asia,Western Asia,9730500,86600.0
15,16,Bahamas,Americas,Caribbean,378040,13943.0
16,17,Bahrain,Asia,Western Asia,1404900,765.0
17,18,Bangladesh,Asia,Southern Asia,161006790,147570.0
18,19,Barbados,Americas,Caribbean,285000,430.0
19,20,Belarus,Europe,Eastern Europe,9498700,207600.0
20,21,Belgium,Europe,Western Europe,11319511,30528.0
21,22,Belize,Americas,Central America,370300,22966.0
22,23,Benin,Africa,Western Africa,10653654,112622.0
23,24,Bermuda,Americas,Northern America,61954,54.0
24,25,Bhutan,Asia,Southern Asia,775620,38394.0
25,26,Bolivia (Plurinational State of),Americas,South America,10985059,1098581.0
26,27,"Bonaire, Sint Eustatius and Saba",Americas,Caribbean,17408,294.0
27,28,Bosnia and Herzegovina,Europe,Southern Europe,3531159,51209.0
28,29,Botswana,Africa,Southern Africa,2141206,582000.0
29,31,Brazil,Americas,South America,206135893,8515767.0
30,32,British Indian Ocean Territory,Africa,Eastern Africa,3000,60.0
31,34,Virgin Islands (British),Americas,Caribbean,28514,151.0
32,35,Virgin Islands (U.S.),Americas,Caribbean,114743,346.36
33,36,Brunei Darussalam,Asia,South-Eastern Asia,411900,5765.0
34,37,Bulgaria,Europe,Eastern Europe,7153784,110879.0
35,38,Burkina Faso,Africa,Western Africa,19034397,272967.0
36,39,Burundi,Africa,Eastern Africa,10114505,27834.0
37,40,Cambodia,Asia,South-Eastern Asia,15626444,181035.0
38,41,Cameroon,Africa,Middle Africa,22709892,475442.0
39,42,Canada,Americas,Northern America,36155487,9984670.0
40,43,Cabo Verde,Africa,Western Africa,531239,4033.0
41,44,Cayman Islands,Americas,Caribbean,58238,264.0
42,45,Central African Republic,Africa,Middle Africa,4998000,622984.0
43,46,Chad,Africa,Middle Africa,14497000,1284000.0
44,47,Chile,Americas,South America,18191900,756102.0
45,48,China,Asia,Eastern Asia,1377422166,9640011.0
46,49,Christmas Island,Oceania,Australia and New Zealand,2072,135.0
47,50,Cocos (Keeling) Islands,Oceania,Australia and New Zealand,550,14.0
48,51,Colombia,Americas,South America,48759958,1141748.0
49,52,Comoros,Africa,Eastern Africa,806153,1862.0
50,53,Congo,Africa,Middle Africa,4741000,342000.0
51,54,Congo (Democratic Republic of the),Africa,Middle Africa,85026000,2344858.0
52,55,Cook Islands,Oceania,Polynesia,18100,236.0
53,56,Costa Rica,Americas,Central America,4890379,51100.0
54,57,Croatia,Europe,Southern Europe,4190669,56594.0
55,58,Cuba,Americas,Caribbean,11239004,109884.0
56,59,Curaçao,Americas,Caribbean,154843,444.0
57,60,Cyprus,Europe,Southern Europe,847000,9251.0
58,61,Czech Republic,Europe,Eastern Europe,10558524,78865.0
59,62,Denmark,Europe,Northern Europe,5717014,43094.0
60,63,Djibouti,Africa,Eastern Africa,900000,23200.0
61,64,Dominica,Americas,Caribbean,71293,751.0
62,65,Dominican Republic,Americas,Caribbean,10075045,48671.0
63,66,Ecuador,Americas,South America,16545799,276841.0
64,67,Egypt,Africa,Northern Africa,91290000,1002450.0
65,68,El Salvador,Americas,Central America,6520675,21041.0
66,69,Equatorial Guinea,Africa,Middle Africa,1222442,28051.0
67,70,Eritrea,Africa,Eastern Africa,5352000,117600.0
68,71,Estonia,Europe,Northern Europe,1315944,45227.0
69,72,Ethiopia,Africa,Eastern Africa,92206005,1104300.0
70,73,Falkland Islands (Malvinas),Americas,South America,2563,12173.0
71,74,Faroe Islands,Europe,Northern Europe,49376,1393.0
72,75,Fiji,Oceania,Melanesia,867000,18272.0
73,76,Finland,Europe,Northern Europe,5491817,338424.0
74,77,France,Europe,Western Europe,66710000,640679.0
75,79,French Polynesia,Oceania,Polynesia,271800,4167.0
76,80,French Southern Territories,Africa,Southern Africa,140,7747.0
77,81,Gabon,Africa,Middle Africa,1802278,267668.0
78,82,Gambia,Africa,Western Africa,1882450,11295.0
79,83,Georgia,Asia,Western Asia,3720400,69700.0
80,84,Germany,Europe,Western Europe,81770900,357114.0
81,85,Ghana,Africa,Western Africa,27670174,238533.0
82,86,Gibraltar,Europe,Southern Europe,33140,6.0
83,87,Greece,Europe,Southern Europe,10858018,131990.0
84,88,Greenland,Americas,Northern America,55847,2166086.0
85,89,Grenada,Americas,Caribbean,103328,344.0
86,91,Guam,Oceania,Micronesia,184200,549.0
87,92,Guatemala,Americas,Central America,16176133,108889.0
88,93,Guernsey,Europe,Northern Europe,62999,78.0
89,94,Guinea,Africa,Western Africa,12947000,245857.0
90,95,Guinea-Bissau,Africa,Western Africa,1547777,36125.0
91,96,Guyana,Americas,South America,746900,214969.0
92,97,Haiti,Americas,Caribbean,11078033,27750.0
93,99,Holy See,Europe,Southern Europe,451,0.44
94,100,Honduras,Americas,Central America,8576532,112492.0
95,101,Hong Kong,Asia,Eastern Asia,7324300,1104.0
96,102,Hungary,Europe,Eastern Europe,9823000,93028.0
97,103,Iceland,Europe,Northern Europe,334300,103000.0
98,104,India,Asia,Southern Asia,1295210000,3287590.0
99,105,Indonesia,Asia,South-Eastern Asia,258705000,1904569.0
100,106,Côte d'Ivoire,Africa,Western Africa,22671331,322463.0
101,107,Iran (Islamic Republic of),Asia,Southern Asia,79369900,1648195.0
102,108,Iraq,Asia,Western Asia,37883543,438317.0
103,109,Ireland,Europe,Northern Europe,6378000,70273.0
104,110,Isle of Man,Europe,Northern Europe,84497,572.0
105,111,Israel,Asia,Western Asia,8527400,20770.0
106,112,Italy,Europe,Southern Europe,60665551,301336.0
107,113,Jamaica,Americas,Caribbean,2723246,10991.0
108,114,Japan,Asia,Eastern Asia,126960000,377930.0
109,115,Jersey,Europe,Northern Europe,100800,116.0
110,116,Jordan,Asia,Western Asia,9531712,89342.0
111,117,Kazakhstan,Asia,Central Asia,17753200,2724900.0
112,118,Kenya,Africa,Eastern Africa,47251000,580367.0
113,119,Kiribati,Oceania,Micronesia,113400,811.0
114,120,Kuwait,Asia,Western Asia,4183658,17818.0
115,121,Kyrgyzstan,Asia,Central Asia,6047800,199951.0
116,122,Lao People's Democratic Republic,Asia,South-Eastern Asia,6492400,236800.0
117,123,Latvia,Europe,Northern Europe,1961600,64559.0
118,124,Lebanon,Asia,Western Asia,5988000,10452.0
119,125,Lesotho,Africa,Southern Africa,1894194,30355.0
120,126,Liberia,Africa,Western Africa,4615000,111369.0
121,127,Libya,Africa,Northern Africa,6385000,1759540.0
122,128,Liechtenstein,Europe,Western Europe,37623,160.0
123,129,Lithuania,Europe,Northern Europe,2872294,65300.0
124,130,Luxembourg,Europe,Western Europe,576200,2586.0
125,131,Macao,Asia,Eastern Asia,649100,30.0
126,132,Macedonia (the former Yugoslav Republic of),Europe,Southern Europe,2058539,25713.0
127,133,Madagascar,Africa,Eastern Africa,22434363,587041.0
128,134,Malawi,Africa,Eastern Africa,16832910,118484.0
129,135,Malaysia,Asia,South-Eastern Asia,31405416,330803.0
130,136,Maldives,Asia,Southern Asia,344023,300.0
131,137,Mali,Africa,Western Africa,18135000,1240192.0
132,138,Malta,Europe,Southern Europe,425384,316.0
133,139,Marshall Islands,Oceania,Micronesia,54880,181.0
134,141,Mauritania,Africa,Western Africa,3718678,1030700.0
135,142,Mauritius,Africa,Eastern Africa,1262879,2040.0
136,144,Mexico,Americas,Central America,122273473,1964375.0
137,145,Micronesia (Federated States of),Oceania,Micronesia,102800,702.0
138,146,Moldova (Republic of),Europe,Eastern Europe,3553100,33846.0
139,147,Monaco,Europe,Western Europe,38400,2.02
140,148,Mongolia,Asia,Eastern Asia,3093100,1564110.0
141,149,Montenegro,Europe,Southern Europe,621810,13812.0
142,150,Montserrat,Americas,Caribbean,4922,102.0
143,151,Morocco,Africa,Northern Africa,33337529,446550.0
144,152,Mozambique,Africa,Eastern Africa,26423700,801590.0
145,153,Myanmar,Asia,South-Eastern Asia,51419420,676578.0
146,154,Namibia,Africa,Southern Africa,2324388,825615.0
147,155,Nauru,Oceania,Micronesia,10084,21.0
148,156,Nepal,Asia,Southern Asia,28431500,147181.0
149,157,Netherlands,Europe,Western Europe,17019800,41850.0
150,158,New Caledonia,Oceania,Melanesia,268767,18575.0
151,159,New Zealand,Oceania,Australia and New Zealand,4697854,270467.0
152,160,Nicaragua,Americas,Central America,6262703,130373.0
153,161,Niger,Africa,Western Africa,20715000,1267000.0
154,162,Nigeria,Africa,Western Africa,186988000,923768.0
155,163,Niue,Oceania,Polynesia,1470,260.0
156,164,Norfolk Island,Oceania,Australia and New Zealand,2302,36.0
157,165,Korea (Democratic People's Republic of),Asia,Eastern Asia,25281000,120538.0
158,166,Northern Mariana Islands,Oceania,Micronesia,56940,464.0
159,167,Norway,Europe,Northern Europe,5223256,323802.0
160,168,Oman,Asia,Western Asia,4420133,309500.0
161,169,Pakistan,Asia,Southern Asia,194125062,881912.0
162,170,Palau,Oceania,Micronesia,17950,459.0
163,172,Panama,Americas,Central America,3814672,75417.0
164,173,Papua New Guinea,Oceania,Melanesia,8083700,462840.0
165,174,Paraguay,Americas,South America,6854536,406752.0
166,175,Peru,Americas,South America,31488700,1285216.0
167,176,Philippines,Asia,South-Eastern Asia,103279800,342353.0
168,177,Pitcairn,Oceania,Polynesia,56,47.0
169,178,Poland,Europe,Eastern Europe,38437239,312679.0
170,179,Portugal,Europe,Southern Europe,10374822,92090.0
171,180,Puerto Rico,Americas,Caribbean,3474182,8870.0
172,181,Qatar,Asia,Western Asia,2587564,11586.0
173,182,Republic of Kosovo,Europe,Eastern Europe,1733842,10908.0
174,184,Romania,Europe,Eastern Europe,19861408,238391.0
175,186,Rwanda,Africa,Eastern Africa,11553188,26338.0
176,187,Saint Barthélemy,Americas,Caribbean,9417,21.0
177,189,Saint Kitts and Nevis,Americas,Caribbean,46204,261.0
178,190,Saint Lucia,Americas,Caribbean,186000,616.0
179,191,Saint Martin (French part),Americas,Caribbean,36979,53.0
180,192,Saint Pierre and Miquelon,Americas,Northern America,6069,242.0
181,193,Saint Vincent and the Grenadines,Americas,Caribbean,109991,389.0
182,194,Samoa,Oceania,Polynesia,194899,2842.0
183,195,San Marino,Europe,Southern Europe,33005,61.0
184,196,Sao Tome and Principe,Africa,Middle Africa,187356,964.0
185,197,Saudi Arabia,Asia,Western Asia,32248200,2149690.0
186,198,Senegal,Africa,Western Africa,14799859,196722.0
