,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Social support,Healthy life expectancy,Freedom to make life choices,Trust (Government Corruption),Generosity,Dystopia Residual,Cluster,Year
0,Switzerland,Western Europe,1,7.5870000000000015,0.03411,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678000000000004,2.51738,2,2015
0,Switzerland,Western Europe,1,7.5870000000000015,0.03411,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678000000000004,2.51738,2,2017
0,Switzerland,Western Europe,1,7.5870000000000015,0.03411,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678000000000004,2.51738,2,2015
0,Switzerland,Western Europe,1,7.5870000000000015,0.03411,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678000000000004,2.51738,2,2019
0,Switzerland,Western Europe,1,7.5870000000000015,0.03411,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678000000000004,2.51738,2,2018
1,Iceland,Western Europe,2,7.561,0.04884,1.30232,1.40223,0.94784,0.6287699999999999,0.14145,0.4363,2.70201,2,2015
1,Iceland,Western Europe,2,7.561,0.04884,1.30232,1.40223,0.94784,0.6287699999999999,0.14145,0.4363,2.70201,2,2018
1,Iceland,Western Europe,2,7.561,0.04884,1.30232,1.40223,0.94784,0.6287699999999999,0.14145,0.4363,2.70201,2,2017
1,Iceland,Western Europe,2,7.561,0.04884,1.30232,1.40223,0.94784,0.6287699999999999,0.14145,0.4363,2.70201,2,2015
1,Iceland,Western Europe,2,7.561,0.04884,1.30232,1.40223,0.94784,0.6287699999999999,0.14145,0.4363,2.70201,2,2019
2,Denmark,Western Europe,3,7.527,0.033280000000000004,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,2,2019
2,Denmark,Western Europe,3,7.527,0.033280000000000004,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,2,2015
2,Denmark,Western Europe,3,7.527,0.033280000000000004,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,2,2017
2,Denmark,Western Europe,3,7.527,0.033280000000000004,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,2,2018
2,Denmark,Western Europe,3,7.527,0.033280000000000004,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,2,2015
3,Norway,Western Europe,4,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,2,2015
3,Norway,Western Europe,4,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,2,2019
3,Norway,Western Europe,4,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,2,2017
3,Norway,Western Europe,4,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,2,2015
3,Norway,Western Europe,4,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,2,2018
4,Canada,North America,5,7.427,0.03553,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,2,2018
4,Canada,North America,5,7.427,0.03553,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,2,2015
4,Canada,North America,5,7.427,0.03553,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,2,2015
4,Canada,North America,5,7.427,0.03553,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,2,2019
4,Canada,North America,5,7.427,0.03553,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,2,2017
5,Finland,Western Europe,6,7.4060000000000015,0.0314,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955,2,2018
5,Finland,Western Europe,6,7.4060000000000015,0.0314,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955,2,2019
5,Finland,Western Europe,6,7.4060000000000015,0.0314,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955,2,2017
5,Finland,Western Europe,6,7.4060000000000015,0.0314,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955,2,2015
5,Finland,Western Europe,6,7.4060000000000015,0.0314,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955,2,2015
6,Netherlands,Western Europe,7,7.377999999999999,0.02799,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657,2,2018
6,Netherlands,Western Europe,7,7.377999999999999,0.02799,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657,2,2019
6,Netherlands,Western Europe,7,7.377999999999999,0.02799,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657,2,2015
6,Netherlands,Western Europe,7,7.377999999999999,0.02799,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657,2,2017
6,Netherlands,Western Europe,7,7.377999999999999,0.02799,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657,2,2015
7,Sweden,Western Europe,8,7.364,0.03157,1.33171,1.2890700000000002,0.91087,0.6598,0.43844,0.36262,2.3711900000000004,2,2017
7,Sweden,Western Europe,8,7.364,0.03157,1.33171,1.2890700000000002,0.91087,0.6598,0.43844,0.36262,2.3711900000000004,2,2018
7,Sweden,Western Europe,8,7.364,0.03157,1.33171,1.2890700000000002,0.91087,0.6598,0.43844,0.36262,2.3711900000000004,2,2019
7,Sweden,Western Europe,8,7.364,0.03157,1.33171,1.2890700000000002,0.91087,0.6598,0.43844,0.36262,2.3711900000000004,2,2015
7,Sweden,Western Europe,8,7.364,0.03157,1.33171,1.2890700000000002,0.91087,0.6598,0.43844,0.36262,2.3711900000000004,2,2015
8,New Zealand,Australia and New Zealand,9,7.286,0.033710000000000004,1.2501799999999998,1.31967,0.90837,0.6393800000000001,0.42922,0.47501,2.26425,2,2018
8,New Zealand,Australia and New Zealand,9,7.286,0.033710000000000004,1.2501799999999998,1.31967,0.90837,0.6393800000000001,0.42922,0.47501,2.26425,2,2017
8,New Zealand,Australia and New Zealand,9,7.286,0.033710000000000004,1.2501799999999998,1.31967,0.90837,0.6393800000000001,0.42922,0.47501,2.26425,2,2019
8,New Zealand,Australia and New Zealand,9,7.286,0.033710000000000004,1.2501799999999998,1.31967,0.90837,0.6393800000000001,0.42922,0.47501,2.26425,2,2015
8,New Zealand,Australia and New Zealand,9,7.286,0.033710000000000004,1.2501799999999998,1.31967,0.90837,0.6393800000000001,0.42922,0.47501,2.26425,2,2015
